Designator,Mid X,Mid Y,Rotation,Layer
C1,95.66,-70.76,0.0,top
C10,88.5325,-76.7275,90.0,top
C11,91.0,-81.04,180.0,top
C12,90.16,-70.52,90.0,top
C13,90.99,-81.96,180.0,top
C14,92.0,-70.51,90.0,top
C15,98.5625,-78.1175,270.0,top
C16,88.5325,-78.5475,270.0,top
C17,91.08,-70.51,90.0,top
C18,97.6,-67.49,90.0,top
C19,95.66,-67.53,180.0,top
C2,98.55,-72.18,270.0,top
C20,88.72,-68.14,270.0,top
C21,89.91,-68.14,270.0,top
C3,98.5625,-74.4775,270.0,top
C4,89.6625,-84.54,90.0,top
C5,94.77,-81.95,0.0,top
C6,98.5725,-76.2975,270.0,top
C7,88.5325,-74.7375,90.0,top
C8,94.7725,-81.0175,0.0,top
C9,88.5325,-72.7275,90.0,top
D1,88.74,-82.05,90.0,top
L1,96.28,-69.355,180.0,top
R1,98.56,-70.33,270.0,top
R2,93.17,-70.24,90.0,top
R3,94.11,-70.24,90.0,top
R4,98.5725,-79.9675,90.0,top
R5,93.395,-81.485,90.0,top
R6,88.72,-84.54,270.0,top
SW1,97.31,-83.77,90.0,top
U1,93.54,-76.01,0.0,top
U2,91.86,-67.52,90.0,top
Y1,92.28,-84.18,0.0,top
